ticker,sector_name,subsector_name,industry_name,subindustry_name
BMHS,Kesehatan,Jasa & Peralatan Kesehatan,Penyedia Jasa Kesehatan,Penyedia Jasa Kesehatan
BMRI,Keuangan,Bank,Bank,Bank
BMSR,Barang Baku,Barang Baku,Barang Kimia,Barang Kimia Dasar
BMTR,Barang Konsumen Non-Primer,Media & Hiburan,Media,Periklanan
BNBA,Keuangan,Bank,Bank,Bank
BNBR,Perindustrian,Perusahaan Holding Multi Sektor,Perusahaan Holding Multi-sektor,Perusahaan Holding Multi-sektor
BNGA,Keuangan,Bank,Bank,Bank
BNII,Keuangan,Bank,Bank,Bank
BNLI,Keuangan,Bank,Bank,Bank
BOAT,Energi,"Minyak, Gas & Batu Bara","Pendukung Minyak, Gas & Batu Bara","Jasa & Perlengkapan Minyak, Gas & Batu Bara"
BOBA,Barang Konsumen Primer,Makanan & Minuman,Makanan Olahan,Makanan Olahan
BOGA,Barang Konsumen Non-Primer,Perdagangan Ritel,Ritel Khusus,Ritel Otomotif
BOLA,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,Fasilitas Rekreasi & Olah Raga
BOLT,Barang Konsumen Non-Primer,Otomotif & Komponen Otomotif,Komponen Otomotif,Suku Cadang Otomotif
BOSS,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara
BPFI,Keuangan,Jasa Pembiayaan,Pembiayaan Konsumen,Pembiayaan Konsumen
BPII,Keuangan,Perusahaan Holding & Investasi,Perusahaan Holding & Investasi,Perusahaan Holding Keuangan
BPTR,Transportasi & Logistik,Transportasi,Pengangkutan Darat Penumpang,Transportasi Jalanan
BRAM,Barang Konsumen Non-Primer,Otomotif & Komponen Otomotif,Komponen Otomotif,Ban
BREN,Infrastruktur,Utilitas,Utilitas Listrik,Utilitas Listrik
BRIS,Keuangan,Bank,Bank,Bank
BRMS,Barang Baku,Barang Baku,Logam & Mineral,Logam & Mineral Lainnya
BRNA,Barang Baku,Barang Baku,Wadah & Kemasan,Wadah & Kemasan
BRPT,Barang Baku,Barang Baku,Barang Kimia,Barang Kimia Dasar
BRRC,Barang Konsumen Primer,Makanan & Minuman,Makanan Olahan,Makanan Olahan
BSBK,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
BSDE,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
BSIM,Keuangan,Bank,Bank,Bank
BSML,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Distribusi Batu Bara
BSSR,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara
BSWD,Keuangan,Bank,Bank,Bank
BTEK,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan
BTEL,Infrastruktur,Telekomunikasi,Jasa Telekomunikasi Nirkabel,Jasa Telekomunikasi Nirkabel
BTON,Barang Baku,Barang Baku,Logam & Mineral,Baja & Besi
BTPN,Keuangan,Bank,Bank,Bank
BTPS,Keuangan,Bank,Bank,Bank
BUAH,Barang Konsumen Primer,Perdagangan Ritel Barang Primer,Perdagangan Ritel Barang Primer,Ritel & Distributor Makanan
BUDI,Barang Konsumen Primer,Makanan & Minuman,Makanan Olahan,Makanan Olahan
BUKA,Teknologi,Perangkat Lunak & Jasa TI,Aplikasi & Jasa Internet,Aplikasi & Jasa Internet
BUKK,Infrastruktur,Konstruksi Bangunan,Konstruksi Bangunan,Konstruksi Bangunan
